Time::Relative Time!!R,Markers::Markers,Channel1_R1_Area::EGFP_R1_Area!!R,Channel1_R1_IntensityMean::EGFP_R1_IntensityMean!!R,Channel1_R1_IntensitySum1::EGFP_R1_IntensitySum1!!R,Channel1_R1_IntensityMaximum::EGFP_R1_IntensityMaximum!!R,Channel1_R2_Area::EGFP_R2_Area!!R,Channel1_R2_IntensityMean::EGFP_R2_IntensityMean!!R,Channel1_R2_IntensitySum1::EGFP_R2_IntensitySum1!!R,Channel1_R2_IntensityMaximum::EGFP_R2_IntensityMaximum!!R
Ms,,,,,,,,,
12489.3084,,53883.96,581.7001631,0,0,26553.28,628.2174134,0,0
12499.3159,,53883.96,603.4340735,0,0,26553.28,660.4406823,0,0
12509.3233,,53883.96,628.9499435,0,0,26553.28,696.0302953,0,0
12519.3308,,53883.96,650.2571823,0,0,26553.28,726.8839104,0,0
12529.3382,,53883.96,674.5166228,0,0,26553.28,760.0514257,0,0
12539.3457,,53883.96,692.323046,0,0,26553.28,787.0791752,0,0
12549.3532,,53883.96,711.920838,0,0,26553.28,815.878055,0,0
12559.3606,,53883.96,725.889098,0,0,26553.28,835.9348269,0,0
12569.3681,,53883.96,742.7981433,0,0,26553.28,862.1186354,0,0
12579.3755,,53883.96,753.1943294,0,0,26553.28,876.7612016,0,0
12589.383,,53883.96,766.9793,0,0,26553.28,899.2059572,0,0
12599.3904,,53883.96,775.1426421,0,0,26553.28,910.436609,0,0
12609.3979,,53883.96,786.2993351,0,0,26553.28,927.401222,0,0
12619.4054,,53883.96,792.2280768,0,0,26553.28,933.8953666,0,0
12629.4128,,53883.96,800.6775812,0,0,26553.28,948.8742363,0,0
12639.4203,,53883.96,804.7234977,0,0,26553.28,954.1209267,0,0
12649.4277,,53883.96,813.7985196,0,0,26553.28,966.560336,0,0
12659.4352,,53883.96,815.1137875,0,0,26553.28,968.7892057,0,0
12669.4427,,53883.96,820.5898883,0,0,26553.28,978.496945,0,0
12679.4501,,53883.96,822.2381132,0,0,26553.28,978.4722505,0,0
12689.4576,,53883.96,826.7147158,0,0,26553.28,986.4343177,0,0
12699.465,,53883.96,827.2796387,0,0,26553.28,986.0689919,0,0
12709.4725,,53883.96,830.7130849,0,0,26553.28,992.3261202,0,0
12719.4799,,53883.96,830.7799523,0,0,26553.28,990.3709267,0,0
12729.4874,,53883.96,833.4636808,0,0,26553.28,995.4228615,0,0
12739.4949,,53883.96,831.1363693,0,0,26553.28,991.2130855,0,0
12749.5023,,53883.96,833.6221302,0,0,26553.28,995.0824847,0,0
12759.5098,,53883.96,831.6583867,0,0,26553.28,992.1860998,0,0
12769.5172,,53883.96,832.3749843,0,0,26553.28,993.0282587,0,0
12779.5247,,53883.96,830.4630536,0,0,26553.28,990.2278513,0,0
12789.5322,,53883.96,830.0091582,0,0,26553.28,990.1053971,0,0
12799.5396,,53883.96,828.4236608,0,0,26553.28,986.0481161,0,0
12809.5471,,53883.96,826.9401581,0,0,26553.28,983.7752037,0,0
12819.5545,,53883.96,824.1884331,0,0,26553.28,978.3869654,0,0
12829.562,,53883.96,821.4619245,0,0,26553.28,976.3464868,0,0
12839.5695,,53883.96,819.9296199,0,0,26553.28,971.4564664,0,0
12849.5769,,53883.96,815.7914942,0,0,26553.28,967.9467923,0,0
12859.5844,,53883.96,812.4600427,0,0,26553.28,961.3635438,0,0
12869.5918,,53883.96,809.0184419,0,0,26553.28,956.967668,0,0
12879.5993,,53883.96,805.7995233,0,0,26553.28,950.2477088,0,0
12889.6067,,53883.96,801.318906,0,0,26553.28,946.075611,0,0
12899.6142,,53883.96,797.49379,0,0,26553.28,938.1272912,0,0
12909.6217,,53883.96,792.1514239,0,0,26553.28,930.7253055,0,0
12919.6291,,53883.96,789.2412495,0,0,26553.28,924.9457739,0,0
12929.6366,,53883.96,782.1440221,0,0,26553.28,917.4378819,0,0
12939.644,,53883.96,779.7893614,0,0,26553.28,911.1616599,0,0
12949.6515,,53883.96,773.704554,0,0,26553.28,903.2242872,0,0
12959.659,,53883.96,770.2936896,0,0,26553.28,896.4758147,0,0
12969.6664,,53883.96,763.2440095,0,0,26553.28,888.8368126,0,0
12979.6739,,53883.96,760.805796,0,0,26553.28,882.651222,0,0
12989.6813,,53883.96,754.0587128,0,0,26553.28,873.7153768,0,0
12999.6888,,53883.96,750.7256304,0,0,26553.28,867.9004582,0,0
13009.6962,,53883.96,743.0817965,0,0,26553.28,859.8370672,0,0
13019.7037,,53883.96,740.5763392,0,0,26553.28,853.6537678,0,0
13029.7112,,53883.96,733.8178397,0,0,26553.28,845.1962831,0,0
13039.7186,,53883.96,731.244135,0,0,26553.28,839.2227597,0,0
13049.7261,,53883.96,724.1820349,0,0,26553.28,831.316446,0,0
13059.7335,,53883.96,721.7361686,0,0,26553.28,824.8413951,0,0
13069.741,,53883.96,714.6197466,0,0,26553.28,815.6789715,0,0
13079.7485,,53883.96,712.3276879,0,0,26553.28,812.5050916,0,0
13089.7559,,53883.96,705.4057207,0,0,26553.28,804.1354379,0,0
13099.7634,,53883.96,703.9760381,0,0,26553.28,799.63722,0,0
13109.7708,,53883.96,696.9918454,0,0,26553.28,789.7683299,0,0
13119.7783,,53883.96,695.0263455,0,0,26553.28,787.6545316,0,0
13129.7858,,53883.96,687.8190942,0,0,26553.28,777.4432281,0,0
13139.7932,,53883.96,685.7500941,0,0,26553.28,773.614053,0,0
13149.8007,,53883.96,680.3693389,0,0,26553.28,765.9549389,0,0
13159.8081,,53883.96,677.8906034,0,0,26553.28,761.9350815,0,0
13169.8156,,53883.96,672.2351022,0,0,26553.28,754.0906314,0,0
13179.823,,53883.96,670.7631414,0,0,26553.28,751.5570265,0,0
13189.8305,,53883.96,664.6716849,0,0,26553.28,742.9360998,0,0
13199.838,,53883.96,662.7804541,0,0,26553.28,741.1588595,0,0
13209.8454,,53883.96,657.7744323,0,0,26553.28,733.6423116,0,0
13219.8529,,53883.96,656.1487894,0,0,26553.28,730.4368635,0,0
13229.8603,,53883.96,650.9375235,0,0,26553.28,722.8989308,0,0
13239.8678,,53883.96,649.2521641,0,0,26553.28,721.4849796,0,0
13249.8753,,53883.96,645.077782,0,0,26553.28,714.4450102,0,0
13259.8827,,53883.96,643.1851712,0,0,26553.28,712.6173625,0,0
13269.8902,,53883.96,638.2426295,0,0,26553.28,705.5300407,0,0
13279.8976,,53883.96,636.9458035,0,0,26553.28,703.5715377,0,0
13289.9051,,53883.96,633.144273,0,0,26553.28,697.3271385,0,0
13299.9126,,53883.96,631.1303475,0,0,26553.28,695.9093686,0,0
13309.92,,53883.96,627.6015556,0,0,26553.28,690.1239817,0,0
13319.9275,,53883.96,626.0164346,0,0,26553.28,688.1094705,0,0
13329.9349,,53883.96,621.9968636,0,0,26553.28,682.6782077,0,0
13339.9424,,53883.96,620.3268097,0,0,26553.28,681.00611,0,0
13349.9498,,53883.96,617.7070631,0,0,26553.28,675.7372709,0,0
13359.9573,,53883.96,615.8050433,0,0,26553.28,673.4406823,0,0
13369.9648,,53883.96,612.9553381,0,0,26553.28,669.6288187,0,0
13379.9722,,53883.96,610.8318906,0,0,26553.28,667.9086049,0,0
13389.9797,,53883.96,608.7079413,0,0,26553.28,664.1649695,0,0
13399.9871,,53883.96,606.8084306,0,0,26553.28,661.2245418,0,0
13409.9946,,53883.96,604.5202609,0,0,26553.28,658.4826884,0,0
13420.0021,,53883.96,602.7992724,0,0,26553.28,656.1242363,0,0
13430.0095,,53883.96,601.077782,0,0,26553.28,652.9032587,0,0
13440.017,,53883.96,598.8677707,0,0,26553.28,650.8029532,0,0
13450.0244,,53883.96,597.1518003,0,0,26553.28,647.7365071,0,0
13460.0319,,53883.96,595.2337222,0,0,26553.28,645.569501,0,0
13470.0393,,53883.96,594.8690252,0,0,26553.28,644.9653768,0,0
13480.0468,,53883.96,600.4806172,0,0,26553.28,656.4837067,0,0
13490.0543,,53883.96,614.0225819,0,0,26553.28,676.0967413,0,0
13500.0617,,53883.96,628.2221804,0,0,26553.28,697.7141039,0,0
13510.0692,,53883.96,646.2171622,0,0,26553.28,721.6033605,0,0
13520.0766,,53883.96,660.7347886,0,0,26553.28,744.9956721,0,0
13530.0841,,53883.96,677.9425417,0,0,26553.28,767.4816701,0,0
13540.0916,,53883.96,691.1460294,0,0,26553.28,789.7113035,0,0
13550.099,,53883.96,707.7347886,0,0,26553.28,811.4106415,0,0
13560.1065,,53883.96,718.8448124,0,0,26553.28,828.1227088,0,0
13570.1139,,53883.96,732.5859992,0,0,26553.28,847.7148676,0,0
13580.1214,,53883.96,740.8025342,0,0,26553.28,861.8088086,0,0
13590.1289,,53883.96,752.8628779,0,0,26553.28,878.1227088,0,0
13600.1363,,53883.96,759.0106637,0,0,26553.28,889.3925662,0,0
13610.1438,,53883.96,769.6054447,0,0,26553.28,903.4781059,0,0
13620.1512,,53883.96,774.1411366,0,0,26553.28,912.4271894,0,0
13630.1587,,53883.96,783.7815832,0,0,26553.28,923.8956212,0,0
13640.1661,,53883.96,786.6650358,0,0,26553.28,929.194501,0,0
13650.1736,,53883.96,794.251035,0,0,26553.28,941.8105906,0,0
13660.1811,,53883.96,795.97516,0,0,26553.28,943.9411914,0,0
13670.1885,,53883.96,802.5844938,0,0,26553.28,952.759165,0,0
13680.196,,53883.96,803.9343872,0,0,26553.28,955.5440428,0,0
13690.2034,,53883.96,809.52139,0,0,26553.28,964.5458248,0,0
13700.2109,,53883.96,809.6489775,0,0,26553.28,963.7612016,0,0
13710.2184,,53883.96,814.4042153,0,0,26553.28,970.6069246,0,0
13720.2258,,53883.96,813.1990967,0,0,26553.28,968.398167,0,0
13730.2333,,53883.96,818.0341237,0,0,26553.28,976.2619654,0,0
13740.2407,,53883.96,815.2520386,0,0,26553.28,971.8154277,0,0
13750.2482,,53883.96,819.4851336,0,0,26553.28,977.9577393,0,0
13760.2556,,53883.96,816.8029106,0,0,26553.28,974.3444501,0,0
13770.2631,,53883.96,819.646343,0,0,26553.28,979.2156314,0,0
13780.2706,,53883.96,816.9920963,0,0,26553.28,973.7940428,0,0
13790.278,,53883.96,818.8499561,0,0,26553.28,978.0351324,0,0
13800.2855,,53883.96,815.0431564,0,0,26553.28,972.2283605,0,0
13810.2929,,53883.96,815.6966504,0,0,26553.28,974.8607434,0,0
13820.3004,,53883.96,812.5415883,0,0,26553.28,968.1132892,0,0
13830.3079,,53883.96,812.7182286,0,0,26553.28,969.4704684,0,0
13840.3153,,53883.96,808.5790992,0,0,26553.28,961.4327902,0,0
13850.3228,,53883.96,807.051311,0,0,26553.28,962.3541242,0,0
13860.3302,,53883.96,803.3542843,0,0,26553.28,954.2543279,0,0
13870.3377,,53883.96,800.9654999,0,0,26553.28,953.9111507,0,0
13880.3452,,53883.96,795.9697654,0,0,26553.28,945.8169552,0,0
13890.3526,,53883.96,794.1868022,0,0,26553.28,943.9378819,0,0
13900.3601,,53883.96,789.190064,0,0,26553.28,934.4078411,0,0
13910.3675,,53883.96,785.9115544,0,0,26553.28,931.5068737,0,0
13920.375,,53883.96,781.192824,0,0,26553.28,921.3681263,0,0
13930.3824,,53883.96,776.7918705,0,0,26553.28,918.5710285,0,0
13940.3899,,53883.96,771.9747836,0,0,26553.28,910.5631365,0,0
13950.3974,,53883.96,768.7322795,0,0,26553.28,906.5134929,0,0
13960.4048,,53883.96,763.4971773,0,0,26553.28,897.6023422,0,0
13970.4123,,53883.96,758.6448375,0,0,26553.28,892.3110998,0,0
13980.4197,,53883.96,754.2517877,0,0,26553.28,883.86889,0,0
13990.4272,,53883.96,748.2734914,0,0,26553.28,877.5575356,0,0
14000.4347,,53883.96,744.303726,0,0,26553.28,869.5056008,0,0
14010.4421,,53883.96,739.0697529,0,0,26553.28,863.8879837,0,0
14020.4496,,53883.96,734.7657759,0,0,26553.28,855.5277495,0,0
14030.457,,53883.96,729.324677,0,0,26553.28,850.1107434,0,0
14040.4645,,53883.96,725.3635679,0,0,26553.28,843.8500509,0,0
14050.4719,,53883.96,720.2463932,0,0,26553.28,836.4434827,0,0
14060.4794,,53883.96,716.1267093,0,0,26553.28,829.7219959,0,0
14070.4869,,53883.96,710.454899,0,0,26553.28,823.7087576,0,0
14080.4943,,53883.96,707.6006775,0,0,26553.28,817.2349796,0,0
14090.5018,,53883.96,701.3177769,0,0,26553.28,810.1891548,0,0
14100.5092,,53883.96,698.6361812,0,0,26553.28,804.2581466,0,0
14110.5167,,53883.96,693.0584619,0,0,26553.28,797.5488798,0,0
14120.5242,,53883.96,690.6647848,0,0,26553.28,792.651222,0,0
14130.5316,,53883.96,682.9490654,0,0,26553.28,784.7204684,0,0
14140.5391,,53883.96,680.7349141,0,0,26553.28,779.8149185,0,0
14150.5465,,53883.96,675.2318404,0,0,26553.28,772.7578921,0,0
14160.554,,53883.96,673.1348639,0,0,26553.28,769.1028513,0,0
14170.5615,,53883.96,667.4378372,0,0,26553.28,760.5618635,0,0
14180.5689,,53883.96,665.7802032,0,0,26553.28,757.7655295,0,0
14190.5764,,53883.96,660.2969514,0,0,26553.28,751.3566701,0,0
14200.5838,,53883.96,658.4143771,0,0,26553.28,748.4246436,0,0
14210.5913,,53883.96,653.1834149,0,0,26553.28,741.5873218,0,0
14220.5987,,53883.96,651.7163468,0,0,26553.28,738.8765275,0,0
14230.6062,,53883.96,646.3174006,0,0,26553.28,731.0038187,0,0
14240.6137,,53883.96,645.2553005,0,0,26553.28,729.4778513,0,0
14250.6211,,53883.96,640.8331452,0,0,26553.28,722.3251018,0,0
14260.6286,,53883.96,638.682474,0,0,26553.28,720.3645621,0,0
14270.636,,53883.96,634.758625,0,0,26553.28,713.6667515,0,0
14280.6435,,53883.96,633.2916823,0,0,26553.28,712.5358961,0,0
14290.651,,53883.96,628.4959227,0,0,26553.28,706.3834012,0,0
