Time::Relative Time!!R,Markers::Markers,Channel1_R1_Area::EGFP_R1_Area!!R,Channel1_R1_IntensityMean::EGFP_R1_IntensityMean!!R,Channel1_R1_IntensitySum1::EGFP_R1_IntensitySum1!!R,Channel1_R1_IntensityMaximum::EGFP_R1_IntensityMaximum!!R,Channel1_R2_Area::EGFP_R2_Area!!R,Channel1_R2_IntensityMean::EGFP_R2_IntensityMean!!R,Channel1_R2_IntensitySum1::EGFP_R2_IntensitySum1!!R,Channel1_R2_IntensityMaximum::EGFP_R2_IntensityMaximum!!R,Channel1_R3_Area::EGFP_R3_Area!!R,Channel1_R3_IntensityMean::EGFP_R3_IntensityMean!!R,Channel1_R3_IntensitySum1::EGFP_R3_IntensitySum1!!R,Channel1_R3_IntensityMaximum::EGFP_R3_IntensityMaximum!!R,Channel1_R4_Area::EGFP_R4_Area!!R,Channel1_R4_IntensityMean::EGFP_R4_IntensityMean!!R,Channel1_R4_IntensitySum1::EGFP_R4_IntensitySum1!!R,Channel1_R4_IntensityMaximum::EGFP_R4_IntensityMaximum!!R
Ms,,,,,,,,,,,,,,,,,
12889.6067,,26620.88,966.2531742,0,0,26614.12,1000.913132,0,0,26769.6,1063.127273,0,0,26843.96,978.5321078,0,0
12899.6142,,26620.88,1102.523616,0,0,26614.12,1154.379477,0,0,26769.6,1232.878535,0,0,26843.96,1100.117854,0,0
12909.6217,,26620.88,1254.945404,0,0,26614.12,1324.618237,0,0,26769.6,1444.468687,0,0,26843.96,1238.168723,0,0
12919.6291,,26620.88,1400.586592,0,0,26614.12,1492.801372,0,0,26769.6,1656.557071,0,0,26843.96,1374.157139,0,0
12929.6366,,26620.88,1545.55485,0,0,26614.12,1658.055118,0,0,26769.6,1859.730808,0,0,26843.96,1499.877865,0,0
12939.644,,26620.88,1669.868715,0,0,26614.12,1807.199136,0,0,26769.6,2040.85,0,0,26843.96,1613.641904,0,0
12949.6515,,26620.88,1785.134586,0,0,26614.12,1940.545085,0,0,26769.6,2213.218434,0,0,26843.96,1711.904558,0,0
12959.659,,26620.88,1882.962671,0,0,26614.12,2056.882144,0,0,26769.6,2350.530808,0,0,26843.96,1796.318811,0,0
12969.6664,,26620.88,1970.032504,0,0,26614.12,2158.964948,0,0,26769.6,2481.605303,0,0,26843.96,1868.514984,0,0
12979.6739,,26620.88,2040.171407,0,0,26614.12,2245.659131,0,0,26769.6,2579.545455,0,0,26843.96,1928.143037,0,0
12989.6813,,26620.88,2102.582275,0,0,26614.12,2321.790196,0,0,26769.6,2673.962121,0,0,26843.96,1978.153614,0,0
12999.6888,,26620.88,2150.033266,0,0,26614.12,2381.717551,0,0,26769.6,2740.093687,0,0,26843.96,2017.503651,0,0
13009.6962,,26620.88,2194.485018,0,0,26614.12,2430.766828,0,0,26769.6,2806.217677,0,0,26843.96,2045.718207,0,0
13019.7037,,26620.88,2225.170899,0,0,26614.12,2475.429515,0,0,26769.6,2848.238636,0,0,26843.96,2070.773357,0,0
13029.7112,,26620.88,2254.110208,0,0,26614.12,2505.204216,0,0,26769.6,2887.807323,0,0,26843.96,2089.305465,0,0
13039.7186,,26620.88,2270.389792,0,0,26614.12,2528.984252,0,0,26769.6,2908.741919,0,0,26843.96,2103.063964,0,0
13049.7261,,26620.88,2286.22067,0,0,26614.12,2546.013208,0,0,26769.6,2933.813636,0,0,26843.96,2111.129187,0,0
13059.7335,,26620.88,2292.870747,0,0,26614.12,2561.847854,0,0,26769.6,2940.725758,0,0,26843.96,2119.121884,0,0
13069.741,,26620.88,2300.333926,0,0,26614.12,2564.472187,0,0,26769.6,2952.598485,0,0,26843.96,2119.217577,0,0
13079.7485,,26620.88,2301.456577,0,0,26614.12,2570.624587,0,0,26769.6,2946.049242,0,0,26843.96,2118.519516,0,0
13089.7559,,26620.88,2299.905028,0,0,26614.12,2567.229108,0,0,26769.6,2948.978283,0,0,26843.96,2110.925963,0,0
13099.7634,,26620.88,2295.932453,0,0,26614.12,2564.157226,0,0,26769.6,2934.480808,0,0,26843.96,2106.184588,0,0
13109.7708,,26620.88,2288.612494,0,0,26614.12,2551.293625,0,0,26769.6,2928.290909,0,0,26843.96,2096.868043,0,0
13119.7783,,26620.88,2276.647791,0,0,26614.12,2543.724155,0,0,26769.6,2904.884848,0,0,26843.96,2085.767061,0,0
13129.7858,,26620.88,2264.92001,0,0,26614.12,2526.066294,0,0,26769.6,2895.277778,0,0,26843.96,2073.922941,0,0
13139.7932,,26620.88,2252.905028,0,0,26614.12,2513.221742,0,0,26769.6,2866.733838,0,0,26843.96,2062.642407,0,0
13149.8007,,26620.88,2235.467496,0,0,26614.12,2492.372365,0,0,26769.6,2849.666667,0,0,26843.96,2044.669605,0,0
13159.8081,,26620.88,2221.501016,0,0,26614.12,2476.223774,0,0,26769.6,2820.987121,0,0,26843.96,2030.36414,0,0
13169.8156,,26620.88,2203.501524,0,0,26614.12,2451.648463,0,0,26769.6,2802.232071,0,0,26843.96,2011.181818,0,0
13179.823,,26620.88,2187.875317,0,0,26614.12,2435.189992,0,0,26769.6,2766.97803,0,0,26843.96,1997.279778,0,0
13189.8305,,26620.88,2167.995683,0,0,26614.12,2407.332995,0,0,26769.6,2745.460354,0,0,26843.96,1977.561571,0,0
13199.838,,26620.88,2150.613002,0,0,26614.12,2387.977648,0,0,26769.6,2713.195202,0,0,26843.96,1961.999496,0,0
13209.8454,,26620.88,2125.994159,0,0,26614.12,2356.196088,0,0,26769.6,2684.293434,0,0,26843.96,1939.232687,0,0
13219.8529,,26620.88,2108.488827,0,0,26614.12,2334.569977,0,0,26769.6,2647.40303,0,0,26843.96,1921.449257,0,0
13229.8603,,26620.88,2084.970797,0,0,26614.12,2302.760478,0,0,26769.6,2621.232323,0,0,26843.96,1900.344498,0,0
13239.8678,,26620.88,2064.870239,0,0,26614.12,2281.530099,0,0,26769.6,2584.475758,0,0,26843.96,1884.815412,0,0
13249.8753,,26620.88,2038.854495,0,0,26614.12,2250.052578,0,0,26769.6,2554.82803,0,0,26843.96,1859.883405,0,0
13259.8827,,26620.88,2019.459878,0,0,26614.12,2224.288799,0,0,26769.6,2518.167172,0,0,26843.96,1843.906321,0,0
13269.8902,,26620.88,1995.455307,0,0,26614.12,2194.630175,0,0,26769.6,2485.777778,0,0,26843.96,1818.98338,0,0
